app,test_name,seq_len,num_seq,repeat,cpg,pod_unique_data,speed,kernel_time_sec,gcups,arith_intensity_ops_per_byte,ops_per_elem,n_elems,achieved_bw_GB_s,achieved_gops_s
sw/1d,seq-len_64__num-seq_16384__repeat_1024__cpg_16,64,16384,51,16,0,slow_sim32x,39.109404774,2.8000,160.0,,,,
sw/2d,seq-len_128__num-seq_1024__repeat_4096,128,1024,204,8,0,slow_sim32x,28.991607422,3.7792,320.0,,,,
sw/2d,seq-len_128__num-seq_1024__repeat_4096__pod-unique-data_1,128,1024,204,8,1,slow_sim32x,28.991711447,3.7792,320.0,,,,
sw/2d,seq-len_128__num-seq_8192__repeat_512,128,8192,25,8,0,slow_sim32x,28.768642914,3.7312,320.0,,,,
sw/2d,seq-len_192__num-seq_4096__repeat_512,192,4096,25,8,0,slow_sim32x,31.188978108,3.8720,480.0,,,,
sw/2d,seq-len_192__num-seq_640__repeat_4096,192,640,204,8,0,slow_sim32x,39.402886606,3.9072,480.0,,,,
sw/2d,seq-len_192__num-seq_640__repeat_4096__pod-unique-data_1,192,640,204,8,1,slow_sim32x,39.410854981,3.9072,480.0,,,,
sw/2d,seq-len_32__num-seq_32768__repeat_512,32,32768,25,8,0,slow_sim32x,12.348190836,2.1728,80.0,,,,
sw/2d,seq-len_64__num-seq_16384__repeat_512,64,16384,25,8,0,slow_sim32x,17.345515514,3.0944,160.0,,,,
dummy/roofline,ops_1024__n-elems_4194304__repeat_66,,,3,8,0,slow_sim32x,18.071479509,N/A,256.0000,1024,4194304,0.1792,45.6320
dummy/roofline,ops_12288__n-elems_4194304__repeat_9,,,1,8,0,slow_sim32x,70.089019368,N/A,3072.0000,12288,4194304,0.0160,47.0624
dummy/roofline,ops_128__n-elems_4194304__repeat_128,,,6,8,0,slow_sim32x,5.135537765,N/A,32.0000,128,4194304,1.2544,40.1440
dummy/roofline,ops_12__n-elems_4194304__repeat_128,,,6,8,0,slow_sim32x,2.576247507,N/A,3.0000,12,4194304,2.4992,7.5008
dummy/roofline,ops_1536__n-elems_4194304__repeat_52,,,2,8,0,slow_sim32x,17.897966723,N/A,384.0000,1536,4194304,0.1184,46.0736
